Time;Power
2021-03-17 14:00:00;239.92
2021-03-17 15:00:00;236.534
2021-03-17 16:00:00;228.208
2021-03-17 17:00:00;234.408
2021-03-17 18:00:00;234.595
2021-03-17 19:00:00;228.836
2021-03-17 20:00:00;227.162
2021-03-17 21:00:00;198.122
2021-03-17 22:00:00;201.037
2021-03-17 23:00:00;195.241
2021-03-18 00:00:00;194.212
2021-03-18 01:00:00;181.725
2021-03-18 02:00:00;171.299
2021-03-18 03:00:00;162.584
2021-03-18 04:00:00;155.949
2021-03-18 05:00:00;133.132
2021-03-18 06:00:00;114.759
2021-03-18 07:00:00;116.968
2021-03-18 08:00:00;146.413
2021-03-18 09:00:00;149.29
2021-03-18 10:00:00;133.124
2021-03-18 11:00:00;110.686
2021-03-18 12:00:00;87.822
2021-03-18 13:00:00;74.894
2021-03-18 14:00:00;91.045
2021-03-18 15:00:00;106.491
2021-03-18 16:00:00;82.132
2021-03-18 17:00:00;57.118
2021-03-18 18:00:00;68.922
2021-03-18 19:00:00;106.651
2021-03-18 20:00:00;119.384
2021-03-18 21:00:00;118.438
2021-03-18 22:00:00;107.935
2021-03-18 23:00:00;106.023
2021-03-19 00:00:00;104.607
2021-03-19 01:00:00;66.182
2021-03-19 02:00:00;41.23
2021-03-19 03:00:00;38.573
2021-03-19 04:00:00;32.942
2021-03-19 05:00:00;32.386
2021-03-19 06:00:00;26.551
2021-03-19 07:00:00;17.138
2021-03-19 08:00:00;10.579
2021-03-19 09:00:00;12.536
2021-03-19 10:00:00;17.448
2021-03-19 11:00:00;16.965
2021-03-19 12:00:00;11.542
2021-03-19 13:00:00;29.356
2021-03-19 14:00:00;29.766
2021-03-19 15:00:00;19.134
2021-03-19 16:00:00;22.174
2021-03-19 17:00:00;7.999
2021-03-19 18:00:00;14.579
2021-03-19 19:00:00;32.717
2021-03-19 20:00:00;46.898
2021-03-19 21:00:00;53.901
2021-03-19 22:00:00;56.205
2021-03-19 23:00:00;50.383
2021-03-20 00:00:00;53.117
2021-03-20 01:00:00;43.761
2021-03-20 02:00:00;34.884
2021-03-20 03:00:00;41.597
2021-03-20 04:00:00;40.177
2021-03-20 05:00:00;38.111
2021-03-20 06:00:00;35.997
2021-03-20 07:00:00;27.388
2021-03-20 08:00:00;25.57
2021-03-20 09:00:00;33.482
2021-03-20 10:00:00;39.595
2021-03-20 11:00:00;54.454
2021-03-20 12:00:00;64.412
2021-03-20 13:00:00;99.056
2021-03-20 14:00:00;152.764
2021-03-20 15:00:00;177.475
2021-03-20 16:00:00;194.536
2021-03-20 17:00:00;177.198
2021-03-20 18:00:00;157.219
2021-03-20 19:00:00;134.795
2021-03-20 20:00:00;111.76
2021-03-20 21:00:00;95.62
2021-03-20 22:00:00;99.26
2021-03-20 23:00:00;77.391
2021-03-21 00:00:00;68.061
2021-03-21 01:00:00;82.064
2021-03-21 02:00:00;75.91
2021-03-21 03:00:00;64.365
2021-03-21 04:00:00;60.494
2021-03-21 05:00:00;50.229
2021-03-21 06:00:00;34.389
2021-03-21 07:00:00;16.127
2021-03-21 08:00:00;3.241
2021-03-21 09:00:00;4.994
2021-03-21 10:00:00;24.959
2021-03-21 11:00:00;30.51
2021-03-21 12:00:00;47.162
2021-03-21 13:00:00;43.922
2021-03-21 14:00:00;43.03
2021-03-21 15:00:00;45.829
